"date","close","volume","open","high","low"
"20180824","322.8200","3592734.0000","320.7000","323.8500","319.4000"
"20180823","320.1000","5138685.0000","319.1400","327.3200","318.1000"
"20180822","321.6400","5935853.0000","320.8700","323.8800","314.6700"
"20180821","321.9000","13147770.0000","310.6100","324.7900","309.0000"
"20180820","308.4400","17380430.0000","291.7040","308.5000","288.2000"
"20180817","305.5000","18895880.0000","323.5000","326.7700","303.5300"
"20180816","335.4500","6045392.0000","339.9100","342.2800","333.8200"
"20180815","338.6900","9073033.0000","341.9060","344.4900","332.1400"
"20180814","347.6400","6948511.0000","358.4500","359.1995","347.1000"
"20180813","356.4100","10444920.0000","361.1300","363.1900","349.0200"
"20180810","355.4900","11530510.0000","354.0000","360.0000","346.0000"
"20180809","352.4500","16951800.0000","365.5500","367.0100","345.7300"
"20180808","370.3400","24535420.0000","369.0900","382.6400","367.1200"
"20180807","379.5700","30596400.0000","343.8400","387.4600","339.1501"
"20180806","341.9900","8536766.0000","345.4600","354.9800","341.8200"
"20180803","348.1700","13646640.0000","347.8100","355.0000","342.5300"
"20180802","349.5400","23159160.0000","328.4400","349.9900","323.1600"
"20180801","300.8400","8768099.0000","297.9900","303.0000","293.0000"
"20180731","298.1400","5055094.0000","292.2500","298.3200","289.0700"
"20180730","290.1700","6799581.0000","295.9000","296.1000","286.1300"
"20180727","297.1800","5694690.0000","307.2500","307.6933","295.3404"
"20180726","306.6500","4619567.0000","304.8500","310.7000","303.6411"
"20180725","308.7400","7031382.0000","296.7400","309.6200","294.5025"
"20180724","297.4300","9586186.0000","304.4209","307.7171","292.5452"
"20180723","303.2000","10974820.0000","301.8400","305.5000","292.8601"
"20180720","313.5800","5159831.0000","321.2300","323.2400","311.7093"
"20180719","320.2300","5907116.0000","316.3300","323.5400","314.0100"
"20180718","323.8500","5610085.0000","325.0000","325.5000","316.2500"
"20180717","322.6900","6987782.0000","308.8100","324.7400","308.5000"
"20180716","310.1000","7800454.0000","311.7100","315.1600","306.2500"
"20180713","318.8700","5866776.0000","315.5800","319.5849","309.2500"
"20180712","316.7100","5711851.0000","321.4300","323.2300","312.7700"
"20180711","318.9600","4878595.0000","315.8000","321.9400","315.0700"
"20180710","322.4700","9437557.0000","324.5600","327.6771","319.2000"
"20180709","318.5100","7579541.0000","311.9900","318.5200","308.0000"
"20180706","308.9000","8860198.0000","304.9550","312.0700","302.0000"
"20180705","309.1600","17457570.0000","313.7600","314.3900","296.2200"
"20180703","310.8600","12282640.0000","331.7500","332.4900","309.6900"
"20180702","335.0700","18732710.0000","360.0700","364.7800","329.8500"
"20180629","342.9500","6475903.0000","353.3300","353.8600","342.4100"
"20180628","349.9300","8388172.0000","348.6600","357.0200","346.1100"
